bill_id,title,timeline_history,date_first_reading,date_second_reading,sponsors_full_details,sponsors_names,committee,primary_sponsor_name
ff26dd66-e370-46de-a8f6-3af7b3b61509,"2022 Supplementary Appropriation Act (Amendment) Bill, 2023",First Reading (House: 2023-07-13) -> Second Reading (House: 2023-07-13) -> Committee Assignment (House: 2023-07-13) -> Report (House: 2023-07-13) -> Third Reading/Concurrence (House: 2023-07-13) -> Harmonization (Not Started) -> Assent (Not Started),2023-07-13,2023-07-13,"Executive (APC, N/A, Constituency: .)",Executive,Supply,Executive
6f76d5a1-a74f-486f-87af-4bba4b298ce9,"2024 Appropriation Bill, 2023",First Reading (House: 2023-11-29) -> Second Reading (House: 2023-12-01) -> Committee Assignment (House: 2023-12-01) -> Report (House: 2023-12-30) -> Third Reading/Concurrence (House: 2023-12-30) -> Harmonization (Not Started) -> Assent (Not Started),2023-11-29,2023-12-01,"Executive (APC, N/A, Constituency: .)",Executive,Appropriations,Executive
12b05694-8f43-48a0-b9cf-d7525042ac5f,"1999 Constitution (Alteration) Bill, 2023",First Reading (House: 2023-07-25) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),2023-07-25,,"Hon Ugochinyere Onyinye Ikeagwuonu (PDP, Imo, Constituency: Ideato North/Ideato South)",Hon Ugochinyere Onyinye Ikeagwuonu,Not Yet Referred,Hon Ugochinyere Onyinye Ikeagwuonu
1f129608-5e93-4355-9877-61f22618b959,"1999 Constitution (Alteration) Bill, 2023",First Reading (House: 2023-07-26) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),2023-07-26,,"Hon Nicholas Ebomo Mutu (PDP, Delta, Constituency: Bomadi/Patani)",Hon Nicholas Ebomo Mutu,Not Yet Referred,Hon Nicholas Ebomo Mutu
9f5076d8-3c84-4e7d-a4c3-279b908a2b67,"1999 Constitution (Alteration) Bill, 2023",First Reading (House: 2023-07-26) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),2023-07-26,,"Hon Dachung Musa Bagos (PDP, Plateau, Constituency: Jos South/Jos East)",Hon Dachung Musa Bagos,Not Yet Referred,Hon Dachung Musa Bagos
b359c1c4-0339-4fd6-b962-6998a04c3fe4,"1999 Constitution (Alteration) Bill, 2023",First Reading (House: 2023-07-25) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),2023-07-25,,"Hon Ugochinyere Onyinye Ikeagwuonu (PDP, Imo, Constituency: Ideato North/Ideato South)",Hon Ugochinyere Onyinye Ikeagwuonu,Not Yet Referred,Hon Ugochinyere Onyinye Ikeagwuonu
f9abe3bd-9ef2-40b8-a59a-e7b522a53bdd,"1999 Constitution (Alteration) Bill, 2023",First Reading (House: 2023-07-25) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),2023-07-25,,"Hon Sesi Whingan (APC, Lagos, Constituency: Badagry)",Hon Sesi Whingan,Not Yet Referred,Hon Sesi Whingan
d4c23df9-41b3-42af-8472-62927b4e0655,"Abuja Building Regulatory Agency (Establishment) Bill, 2023",First Reading (House: 2023-11-02) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),2023-11-02,,"Hon Uchenna Clement nwachukwu (APGA, Anambra, Constituency: Nnewi North/Nnewi South/ Ekwusigo)",Hon Uchenna Clement nwachukwu,Not Yet Referred,Hon Uchenna Clement nwachukwu
54ae0aff-088f-401b-a7bb-6117eac5def0,"Abuja Environmental Protection Board (Est) Bill, 2023",First Reading (House: 2023-07-25) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Concurrence (Not Started) -> Assent (Not Started),2023-07-25,,"Hon Benjamin Kalu (APC, Abia, Constituency: Bende)",Hon Benjamin Kalu,Not Yet Referred,Hon Benjamin Kalu
425a7e89-542f-4cc6-8e6e-8eb6c2601a0e,"Acts Authentication Act (Amendment) Bill, 2023",First Reading (House: 2023-07-05) -> Second Reading (House: 2023-09-26) -> Committee Assignment (House: 2023-09-26) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),2023-07-05,2023-09-26,"Hon Ahmadu Usman Jaha (APC, Borno, Constituency: Damboa/Gwoza/Chibok); Hon Ugochinyere Onyinye Ikeagwuonu (PDP, Imo, Constituency: Ideato North/Ideato South); Hon Tajudeen Abbas (APC, Kaduna, Constituency: Zaria); Hon Benjamin Kalu (APC, Abia, Constituency: Bende)",Hon Ahmadu Usman Jaha; Hon Ugochinyere Onyinye Ikeagwuonu; Hon Tajudeen Abbas; Hon Benjamin Kalu,Justice,Hon Ahmadu Usman Jaha
