bill_id,bill_number,title,originating_chamber,assembly,category,current_status,current_stage,concurrence,harmonization,is_act,committee,primary_sponsor_name,primary_sponsor_party,primary_sponsor_state,primary_sponsor_constituency,sponsors_names,sponsors_parties,sponsors_states,sponsors_full_details,date_first_reading,date_second_reading,date_committee_report,date_passed,date_assented,days_first_to_second_reading,days_in_committee,total_days_to_passage,timeline_history,bill_analysis,bill_content,pdf_initial_bill,pdf_passed_bill,pdf_signed_act,pdf_committee_report,date_created,date_updated
12b05694-8f43-48a0-b9cf-d7525042ac5f,HB 205,"1999 Constitution (Alteration) Bill, 2023",HOUSE,10th Assembly,Constitution,AWAITING ASSENT,First Reading,NOT STARTED,NOT STARTED,No,Not Yet Referred,Hon Ugochinyere Onyinye Ikeagwuonu,PDP,Imo,Ideato North/Ideato South,Hon Ugochinyere Onyinye Ikeagwuonu,PDP,Imo,"Hon Ugochinyere Onyinye Ikeagwuonu (PDP, Imo, Constituency: Ideato North/Ideato South)",2023-07-25,,,,,,,,First Reading (House: 2023-07-25) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),,,,,,,2024-07-01T09:53:14.000000Z,2024-08-20T07:10:35.000000Z
1f129608-5e93-4355-9877-61f22618b959,HB 260,"1999 Constitution (Alteration) Bill, 2023",HOUSE,10th Assembly,Constitution,AWAITING ASSENT,First Reading,NOT STARTED,NOT STARTED,No,Not Yet Referred,Hon Nicholas Ebomo Mutu,PDP,Delta,Bomadi/Patani,Hon Nicholas Ebomo Mutu,PDP,Delta,"Hon Nicholas Ebomo Mutu (PDP, Delta, Constituency: Bomadi/Patani)",2023-07-26,,,,,,,,First Reading (House: 2023-07-26) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),,,https://admin.placbillstrack.org/bill-uploads/1750075498_HB260.pdf,,,,2024-07-02T14:08:15.000000Z,2025-06-16T12:04:58.000000Z
9f5076d8-3c84-4e7d-a4c3-279b908a2b67,HB 273,"1999 Constitution (Alteration) Bill, 2023",HOUSE,10th Assembly,Constitution,AWAITING ASSENT,First Reading,NOT STARTED,NOT STARTED,No,Not Yet Referred,Hon Dachung Musa Bagos,PDP,Plateau,Jos South/Jos East,Hon Dachung Musa Bagos,PDP,Plateau,"Hon Dachung Musa Bagos (PDP, Plateau, Constituency: Jos South/Jos East)",2023-07-26,,,,,,,,First Reading (House: 2023-07-26) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),,,,,,,2024-07-22T14:45:50.000000Z,2024-08-20T07:09:38.000000Z
b359c1c4-0339-4fd6-b962-6998a04c3fe4,HB 206,"1999 Constitution (Alteration) Bill, 2023",HOUSE,10th Assembly,Constitution,AWAITING ASSENT,First Reading,NOT STARTED,NOT STARTED,No,Not Yet Referred,Hon Ugochinyere Onyinye Ikeagwuonu,PDP,Imo,Ideato North/Ideato South,Hon Ugochinyere Onyinye Ikeagwuonu,PDP,Imo,"Hon Ugochinyere Onyinye Ikeagwuonu (PDP, Imo, Constituency: Ideato North/Ideato South)",2023-07-25,,,,,,,,First Reading (House: 2023-07-25) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),,,,,,,2024-07-01T09:53:55.000000Z,2024-08-20T07:10:28.000000Z
f9abe3bd-9ef2-40b8-a59a-e7b522a53bdd,HB 210,"1999 Constitution (Alteration) Bill, 2023",HOUSE,10th Assembly,Constitution,AWAITING ASSENT,First Reading,NOT STARTED,NOT STARTED,No,Not Yet Referred,Hon Sesi Whingan,APC,Lagos,Badagry,Hon Sesi Whingan,APC,Lagos,"Hon Sesi Whingan (APC, Lagos, Constituency: Badagry)",2023-07-25,,,,,,,,First Reading (House: 2023-07-25) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),,,https://admin.placbillstrack.org/bill-uploads/1725537113_HB210-.pdf,,,,2024-07-01T15:49:06.000000Z,2024-09-05T11:51:53.000000Z
103db25f-aa68-4a1a-85dc-3f344aa5abd5,SB 247,"1999 Constitution of the Federal Republic of Nigeria (Alteration) Bill, 2023",SENATE,10th Assembly,Constitution,AWAITING ASSENT,AWAITING ASSENT,NOT STARTED,NOT STARTED,No,Not Yet Referred,Sen. Michael Opeyemi Bamidele,APC,Ekiti,,Sen. Michael Opeyemi Bamidele,APC,Ekiti,"Sen. Michael Opeyemi Bamidele (APC, Ekiti)",2023-11-06,,,,,,,,First Reading (Senate: 2023-11-06) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),,,,,,,2024-06-06T10:01:43.000000Z,2024-08-20T07:19:57.000000Z
2e698c9b-f842-4aa8-8e18-0cc75a013bfe,SB 246,"1999 Constitution of the Federal Republic of Nigeria (Alteration) Bill, 2023",SENATE,10th Assembly,Constitution,AWAITING ASSENT,AWAITING ASSENT,NOT STARTED,NOT STARTED,No,Not Yet Referred,Sen. Michael Opeyemi Bamidele,APC,Ekiti,,Sen. Michael Opeyemi Bamidele,APC,Ekiti,"Sen. Michael Opeyemi Bamidele (APC, Ekiti)",2023-11-06,,,,,,,,First Reading (Senate: 2023-11-06) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),,,,,,,2024-06-06T10:00:28.000000Z,2024-08-20T07:20:03.000000Z
a17ffb0a-8f87-4e41-90c1-97e2aa7183cb,SB 249,"1999 Constitution of the Federal Republic of Nigeria (Alteration) Bill, 2023",SENATE,10th Assembly,Constitution,AWAITING ASSENT,AWAITING ASSENT,NOT STARTED,NOT STARTED,No,Not Yet Referred,Sen. Buhari Abdulfatai Omotayo,APC,Oyo,,Sen. Buhari Abdulfatai Omotayo,APC,Oyo,"Sen. Buhari Abdulfatai Omotayo (APC, Oyo)",2023-11-07,,,,,,,,First Reading (Senate: 2023-11-07) -> Second Reading (Not Started) -> Committee Assignment (Not Started) -> Report (Not Started) -> Third Reading/Concurrence (Not Started) -> Harmonization (Not Started) -> Assent (Not Started),,,,,,,2024-06-06T10:03:08.000000Z,2024-08-20T07:19:50.000000Z
ff26dd66-e370-46de-a8f6-3af7b3b61509,HB 101,"2022 Supplementary Appropriation Act (Amendment) Bill, 2023",HOUSE,10th Assembly,Budget and Expenditure,AWAITING ASSENT,Third Reading/Concurrence,NOT STARTED,NOT STARTED,No,Supply,Executive,APC,N/A,.,Executive,APC,N/A,"Executive (APC, N/A, Constituency: .)",2023-07-13,2023-07-13,2023-07-13,2023-07-13,,0,0,0,First Reading (House: 2023-07-13) -> Second Reading (House: 2023-07-13) -> Committee Assignment (House: 2023-07-13) -> Report (House: 2023-07-13) -> Third Reading/Concurrence (House: 2023-07-13) -> Harmonization (Not Started) -> Assent (Not Started),,,https://admin.placbillstrack.org/bill-uploads/1769525771_HB101.pdf,,,,2024-06-11T12:52:42.000000Z,2026-01-27T14:56:11.000000Z
46ca3498-341a-47b2-82fa-8149e9652fe8,SB 317,"2023 Appropriation Act (Amendment) Bill, 2023",SENATE,10th Assembly,Budget and Expenditure,AWAITING ASSENT,AWAITING ASSENT,NOT STARTED,NOT STARTED,No,Supply,Sen. Michael Opeyemi Bamidele,APC,Ekiti,,Sen. Michael Opeyemi Bamidele,APC,Ekiti,"Sen. Michael Opeyemi Bamidele (APC, Ekiti)",2023-12-21,2023-12-21,2023-12-21,2023-12-21,,0,0,0,First Reading (Senate: 2023-12-21) -> Second Reading (Senate: 2023-12-21) -> Committee Assignment (Senate: 2023-12-21) -> Report (Senate: 2023-12-21) -> Third Reading/Concurrence (Senate: 2023-12-21) -> Harmonization (Not Started) -> Assent (Not Started),,,,,,,2024-06-07T10:07:33.000000Z,2024-08-20T07:21:05.000000Z
5bd978ca-ec70-477e-90e6-7865cb2e85b8,SB 489,"2023 Appropriation Act (Amendment) Bill, 2024",SENATE,10th Assembly,Budget and Expenditure,AWAITING ASSENT,AWAITING ASSENT,NOT STARTED,NOT STARTED,No,Supply,Sen. Michael Opeyemi Bamidele,APC,Ekiti,,Sen. Michael Opeyemi Bamidele,APC,Ekiti,"Sen. Michael Opeyemi Bamidele (APC, Ekiti)",2024-06-27,2024-06-27,2024-06-27,2024-06-27,,0,0,0,First Reading (Senate: 2024-06-27) -> Second Reading (Senate: 2024-06-27) -> Committee Assignment (Senate: 2024-06-27) -> Report (Senate: 2024-06-27) -> Third Reading/Concurrence (Senate: 2024-06-27) -> Harmonization (Not Started) -> Assent (Not Started),,,,,,,2024-08-31T16:58:58.000000Z,2024-08-31T16:58:58.000000Z
