SenatorID,By (Senator),Official Name,State,District,Images
1,Executive,TBD,TBD,TBD,
2,Sen Abba Moro,PDP,Benue,Benue South,
134,Sen.  Abdulaziz Yar'Adua,APC,Katsina,Katsina Central,
99,Sen. Abdulaziz Yari,APC ,Zamfara,Zamfara West,/data/legislator_images/sen_abdulaziz_yari.jpg?v=11
4,Sen Abdulrahman Kawu Suleiman,APC ,Kano,Kano South,/data/legislator_images/sen_abdulrahman_kawu_suleiman.jpg?v=11
137,Sen Adamu Aliero,APC,Kebbi ,Kebbi Central,
5,Sen Adaramodu Adeyemi Raphael,APC,Ekiti,Ekiti south,/data/legislator_images/sen_adaramodu_adeyemi_raphael.jpg?v=11
6,Sen Adebule Idiat Oluranti,APC ,Lagos,Lagos West,/data/legislator_images/sen_adebule_idiat_oluranti.jpg?v=11
7,Sen Adeniyi Adegbonmire,APC,Ondo,Ondo Central,/data/legislator_images/sen_adeniyi_adegbonmire.jpg?v=11
8,Sen Adetokunbo Mukhail Abiru,APC,Lagos,Lagos-East,/data/legislator_images/sen_adetokunbo_mukhail_abiru.jpg?v=11
100,Sen. Afolabi Salisu,APC,Ogun,Ogun Central,/data/legislator_images/sen_afolabi_salisu.jpg?v=11
116,Sen. Ahmad Ibrahim Lawan,APC ,Yobe,Yobe North ,/data/legislator_images/sen_ahmad_ibrahim_lawan.jpg?v=11
3,Sen Ahmed Ningi,PDP,Bauchi,Bauchi Central,/data/legislator_images/sen_ahmed_ningi.jpg?v=11
9,Sen Akintunde Yunus Abiodun,APC,Oyo,Oyo Central,/data/legislator_images/sen_akintunde_yunus_abiodun.jpg?v=11
10,Sen Akpoti-Uduaghan Natasha,PDP,Kogi,Kogi Central,/data/legislator_images/sen_akpoti_uduaghan_natasha.jpg?v=11
11,Sen Aliu Wadada Ahmed,APC,Nassarawa,Nassarawa West,/data/legislator_images/sen_aliu_wadada_ahmed.jpg?v=11
12,Sen Aliyu Magatakarda Wamakko,APC,Sokoto,Sokoto North,/data/legislator_images/sen_aliyu_magatakarda_wamakko.jpg?v=11
13,Sen Alli Sharafadeen Abiodun,APC ,Oyo ,Oyo South,/data/legislator_images/sen_alli_sharafadeen_abiodun.jpg?v=11
14,Sen. Allwell Haacho Onyeosh,APC,Rivers,Rivers East,/data/legislator_images/sen_allwell_haacho_onyeosh.jpg?v=11
15,Sen Aminu Iya Abbas,APC,Adamawa,Adamawa Central,/data/legislator_images/sen_aminu_iya_abbas.jpg?v=11
16,Sen Ani Anthony Okorie,APC,Ebonyi,Ebonyi South,
103,Sen. Anthony Siyako Yaro,PDP,Gombe,Gombe South,/data/legislator_images/sen_anthony_siyako_yaro.jpg?v=11
17,Sen Ashiru Oyelola Yisa,APC,Kwara,Kwara South,
18,Sen Asuquo Ekpenyong,APC,Cross River ,Cross River South,/data/legislator_images/sen_asuquo_ekpenyong.jpg?v=11
19,Sen Augustine Okwudiri Akobundu,ADC,Abia,Abia Central,/data/legislator_images/sen_augustine_okwudiri_akobundu.jpg?v=11
20,Sen Babangida Hussaini,APC,Jigawa,North West,/data/legislator_images/sen_babangida_hussaini.jpg?v=11
21,Sen Banigo Ipalibo Harry,PDP,Rivers,Rivers West,/data/legislator_images/sen_banigo_ipalibo_harry.jpg?v=11
22,Sen Barau Jibrin,APC,Kano,Kano North,/data/legislator_images/sen_barau_jibrin.jpg?v=11
23,Sen Barinada Barry Mpigi,APC,Rivers,Rivers South East,/data/legislator_images/sen_barinada_barry_mpigi.jpg?v=11
25,Sen Benson Agadaga,APC,Bayelsa,Bayelsa East,/data/legislator_images/sen_benson_agadaga.jpg?v=11
24,Sen Binos Dauda Yaroe,ADC,Adamawa,Adamawa South,/data/legislator_images/sen_binos_dauda_yaroe.jpg?v=11
26,Sen Buhari Abdulfatai Omotayo,APC,Oyo,Oyo North,/data/legislator_images/sen_buhari_abdulfatai_omotayo.jpg?v=11
136,Sen Dandutse Muntari Mohammed ,APC,Katsina,Katsina South,/data/legislator_images/sen_dandutse_muntari_mohammed.jpg?v=11
27,Sen Danjuma Goje Mohammed,APC,Gombe,Gombe Central,/data/legislator_images/sen_danjuma_goje_mohammed.jpg?v=11
138,Sen Darlington Nwokocha,Darlington Nwokocha,Abia,Abia Central,/data/legislator_images/sen_darlington_nwokocha.jpg?v=11
28,Sen David Jimkuta,APC,Taraba,Taraba South,/data/legislator_images/sen_david_jimkuta.jpg?v=11
140,Sen David Umahi,David Umahi,Ebonyi,Ebonyi South,/data/legislator_images/sen_david_umahi.jpg?v=11
29,Sen Diket Satso Plang,APC ,Plateau,Plateau Central,/data/legislator_images/sen_diket_satso_plang.jpg?v=11
105,Sen. Ekong Sampson,APC,Akwa Ibom,Akwa Ibom South,
30,Sen Emmanuel Udende Menga,APC ,Benue,Benue North East,/data/legislator_images/sen_emmanuel_udende_menga.jpg?v=11
31,Sen Enyinnaya Harcourt Abaribe,LP,Abia,Abia South,/data/legislator_images/sen_enyinnaya_harcourt_abaribe.jpg?v=11
32,Sen Etim Bassey Aniekan,APC,Akwa Ibom,Akwa Ibom North-East,/data/legislator_images/sen_etim_bassey_aniekan.jpg?v=11
33,Sen Eze Kenneth Emeka,APC,Ebonyi,Ebonyi Central,/data/legislator_images/sen_eze_kenneth_emeka.jpg?v=11
34,Sen Ezenwa Francis Onyewuchi,APC,Imo,Imo East,/data/legislator_images/sen_ezenwa_francis_onyewuchi.jpg?v=11
